0 0.6533
1 0.6630
2 0.6703
3 0.6762
4 0.6824
5 0.6870
6 0.6913
7 0.6959
8 0.7008
9 0.7043
10 0.7094
11 0.7135
12 0.7173
13 0.7232
14 0.7273
15 0.7304
16 0.7342
17 0.7378
18 0.7433
19 0.7475
20 0.7509
21 0.7536
22 0.7578
23 0.7614
24 0.7636
25 0.7671
26 0.7703
27 0.7733
28 0.7755
29 0.7786
30 0.7816
31 0.7835
32 0.7867
33 0.7900
34 0.7925
35 0.7951
36 0.7974
37 0.8000
38 0.8023
39 0.8063
40 0.8103
41 0.8137
42 0.8168
43 0.8202
44 0.8230
45 0.8245
46 0.8278
47 0.8307
48 0.8338
49 0.8362


0 0.6817
1 0.6935
2 0.6997
3 0.7072
4 0.7139
5 0.7191
6 0.7256
7 0.7302
8 0.7350
9 0.7395
10 0.7444
11 0.7482
12 0.7548
13 0.7601
14 0.7639
15 0.7711
16 0.7767
17 0.7823
18 0.7864
19 0.7908
20 0.7956
21 0.8004
22 0.8055
23 0.8103
24 0.8155
25 0.8216
26 0.8271
27 0.8327
28 0.8376
29 0.8408
30 0.8440
31 0.8486
32 0.8532
33 0.8581
34 0.8630
35 0.8684
36 0.8720
37 0.8752
38 0.8789
39 0.8826
40 0.8856
41 0.8889
42 0.8917
43 0.8954
44 0.8984
45 0.9004
46 0.9046
47 0.9065
48 0.9100
49 0.9137

